label,structure,operation,count,mean_ns,p50_ns,p99_ns,total_seconds,final_size,final_height,rotations_left,rotations_right
scale_n1000_r2,avl,SELECT,500,4090.6,4100,6000,0.0020453,184,9,349,308
scale_n1000_r2,avl,RANGE,500,7370.6,7300,11300,0.0036853,184,9,349,308
scale_n1000_r2,avl,ALL,3500,12345.771428571428,5700,42700,0.0432102,184,9,349,308
scale_n1000_r2,bst,I,713,3283.8709677419356,3100,6000,0.0023414,184,14,0,0
scale_n1000_r2,bst,D,556,5347.482014388489,3600,8000,0.0029732,184,14,0,0
scale_n1000_r2,bst,S,731,4253.488372093023,3000,6900,0.0031093,184,14,0,0
scale_n1000_r2,bst,RANK,500,77810.2,60400,403000,0.0389051,184,14,0,0
scale_n1000_r2,bst,SELECT,500,75890.4,53200,430800,0.0379452,184,14,0,0
scale_n1000_r2,bst,RANGE,500,139490.6,49600,1243100,0.0697453,184,14,0,0
scale_n1000_r2,bst,ALL,3500,44291.28571428572,4300,222900,0.1550195,184,14,0,0
scale_n1000_r3,avl,I,713,40074.61430575035,25100,205100,0.0285732,184,9,349,308
scale_n1000_r3,avl,D,556,25783.992805755395,20900,76300,0.0143359,184,9,349,308
scale_n1000_r3,avl,S,731,3537.482900136799,2900,15300,0.0025859,184,9,349,308
scale_n1000_r3,avl,RANK,500,4051.8,3300,12500,0.0020259,184,9,349,308
scale_n1000_r3,avl,SELECT,500,6872.6,4300,17100,0.0034363,184,9,349,308
scale_n1000_r3,avl,RANGE,500,8211.6,7800,23100,0.0041058,184,9,349,308
scale_n1000_r3,avl,ALL,3500,15732.285714285714,6500,67600,0.055063,184,9,349,308
scale_n1000_r3,bst,I,713,3460.3085553997194,3200,15100,0.0024672,184,14,0,0
scale_n1000_r3,bst,D,556,4894.424460431655,3500,24800,0.0027213,184,14,0,0
scale_n1000_r3,bst,S,731,3548.153214774282,2900,16000,0.0025937,184,14,0,0
scale_n1000_r3,bst,RANK,500,86832.0,60800,634300,0.043416,184,14,0,0
scale_n1000_r3,bst,SELECT,500,73638.2,53700,406800,0.0368191,184,14,0,0
scale_n1000_r3,bst,RANGE,500,78346.4,50500,873800,0.0391732,184,14,0,0
scale_n1000_r3,bst,ALL,3500,36340.142857142855,4300,254800,0.1271905,184,14,0,0
scale_n10000_r1,avl,I,6907,62524.019111046764,32800,206900,0.4318534,1147,12,3431,3137
scale_n10000_r1,avl,D,6072,51941.63372859025,29000,193800,0.3153896,1147,12,3431,3137
scale_n10000_r1,avl,S,7021,12303.931063951004,3500,10000,0.0863859,1147,12,3431,3137
scale_n10000_r1,avl,RANK,500,4393.0,4200,6800,0.0021965,1147,12,3431,3137
scale_n10000_r1,avl,SELECT,500,6949.2,5700,24400,0.0034746,1147,12,3431,3137
scale_n10000_r1,avl,RANGE,500,12113.2,10100,41700,0.0060566,1147,12,3431,3137
scale_n10000_r1,avl,ALL,21500,39318.91162790698,24700,122300,0.8453566,1147,12,3431,3137
scale_n10000_r1,bst,I,6907,5400.34747357753,4000,8400,0.0373002,1147,19,0,0
scale_n10000_r1,bst,D,6072,5158.712121212121,4600,12700,0.0313237,1147,19,0,0
scale_n10000_r1,bst,S,7021,5543.099273607748,3600,8900,0.0389181,1147,19,0,0
scale_n10000_r1,bst,RANK,500,477492.2,394100,3145300,0.2387461,1147,19,0,0
scale_n10000_r1,bst,SELECT,500,446991.2,338100,3074100,0.2234956,1147,19,0,0
scale_n10000_r1,bst,RANGE,500,380116.4,279300,2462900,0.1900582,1147,19,0,0
scale_n10000_r1,bst,ALL,21500,35341.483720930235,4100,693500,0.7598419,1147,19,0,0
scale_n10000_r2,avl,I,6907,54340.61097437383,32700,182700,0.3753306,1147,12,3431,3137
scale_n10000_r2,avl,D,6072,42452.849143610016,29100,177900,0.2577737,1147,12,3431,3137
scale_n10000_r2,avl,S,7021,6941.689218060105,3500,9000,0.0487376,1147,12,3431,3137
scale_n10000_r2,avl,RANK,500,4581.8,4400,7400,0.0022909,1147,12,3431,3137
scale_n10000_r2,avl,SELECT,500,10935.0,5800,8500,0.0054675,1147,12,3431,3137
scale_n10000_r2,avl,RANGE,500,12301.4,10300,19300,0.0061507,1147,12,3431,3137
scale_n10000_r2,avl,ALL,21500,32360.511627906977,23600,107700,0.695751,1147,12,3431,3137
scale_n10000_r2,bst,I,6907,4557.912262921674,4000,7500,0.0314815,1147,19,0,0
scale_n10000_r2,bst,D,6072,7109.486166007905,4600,9900,0.0431688,1147,19,0,0
scale_n10000_r2,bst,S,7021,4642.315909414613,3600,6800,0.0325937,1147,19,0,0
scale_n10000_r2,bst,RANK,500,594780.0,411400,5717400,0.29739,1147,19,0,0
scale_n10000_r2,bst,SELECT,500,497709.2,369100,3740700,0.2488546,1147,19,0,0
scale_n10000_r2,bst,RANGE,500,440626.2,286200,4374300,0.2203131,1147,19,0,0
scale_n10000_r2,bst,ALL,21500,40641.93953488372,4100,709300,0.8738017,1147,19,0,0
scale_n10000_r3,avl,I,6907,39338.5985232373,32100,184800,0.2717117,1147,12,3431,3137
scale_n10000_r3,avl,D,6072,36617.473649538864,28400,120800,0.2223413,1147,12,3431,3137
scale_n10000_r3,avl,S,7021,4477.481840193705,3400,8300,0.0314364,1147,12,3431,3137
scale_n10000_r3,avl,RANK,500,4649.2,4500,8500,0.0023246,1147,12,3431,3137
scale_n10000_r3,avl,SELECT,500,6732.0,5700,18500,0.003366,1147,12,3431,3137
